Absorption,
0.20844063,0.17984285
0.21465583,0.17778999
0.21435543,0.17082661
0.21214344,0.16648227
0.21095455,0.18446439
0.21218941,0.17380735
0.21622595,0.1714625
0.21808593,0.17777811
0.21316048,0.1799782
0.2078349,0.17682054
0.21671807,0.16662509
0.21372294,0.17394868
0.21411525,0.18201745
0.21659731,0.17972347
0.21591982,0.17525816
0.21647194,0.18083503
0.21111961,0.17931779
0.21182639,0.17365037
0.21523875,0.17757217
0.20863209,0.18938782
0.2139629,0.17459703
0.21229056,0.17141175
0.21614708,0.16972866
0.21148204,0.17699844
0.20813994,0.17603865
0.21605894,0.17102547
0.21781108,0.17209151
0.21451716,0.18207346
0.21216183,0.18244968
0.21466508,0.16050274
0.21426303,0.18078717
0.21689927,0.17885293
0.21307755,0.17750487
0.2169411,0.17673755
0.20933027,0.17856711
0.21763415,0.17103327
0.21688998,0.17832907
0.20919785,0.17666247
0.21521098,0.18251375
0.21381521,0.17604654
0.21111502,0.18132599
0.2106796,0.18315497
0.21150499,0.17866633
0.21467433,0.1738152
0.21214344,0.17548664
0.21615636,0.17346599
0.21168403,0.18312288
0.20998383,0.17788111
0.21283348,0.17731885
0.22075023,0.17451052
0.21497958,0.17633466
0.2211161,0.17262356
0.2147668,0.1648912
0.21685745,0.17846394
0.21357073,0.17379165
0.2118953,0.17222055
0.21475756,0.17462849
0.21521098,0.17680078
0.21369987,0.17905948
0.21015309,0.17172025
0.2139029,0.17175931
0.20940791,0.17907537
0.21402753,0.17527392
0.21468357,0.17128295
0.21525727,0.18168957
0.20493637,0.17466388
0.21294398,0.1743808
0.21059257,0.1708383
0.20987864,0.18136992
0.21048266,0.17361113
0.21044145,0.1830908
0.21344162,0.17323465
0.2116427,0.17842427
0.20897876,0.18353213
0.21247912,0.17119711
0.21565561,0.16951874
0.21642087,0.18157766
0.21936462,0.18117026
0.21367219,0.1734503
0.21161516,0.17842824
0.22184875,0.18018129
0.21629556,0.17942514
0.21737354,0.16883911
0.2093531,0.17564823
0.21679705,0.17473075
0.21274601,0.17431006
0.21421685,0.16461442
0.21521561,0.18072335
0.20856371,0.18148576
0.21339091,0.17288982
0.21044603,0.17400365
0.20782125,0.17874573
0.2115922,0.17153668
0.20949928,0.17443976
0.21258034,0.1749747
0.21252513,0.18334351
0.21453102,0.18406231
0.20952669,0.17629518
0.2115922,0.17053043
0.21594764,0.1751794
0.21279665,0.18116627
0.2156,0.1793655
0.20823559,0.17717642
0.21508601,0.17867427
0.21221699,0.17835287
0.21485468,0.17312882
0.21253893,0.17719224
0.21033158,0.17959616
