Absorption,Concentration
0.20844063,0.145635375
0.21465583,0.149977872
0.21435543,0.149767986
0.21214344,0.148222491
0.21095455,0.147391825
0.21218941,0.14825461
0.21622595,0.1510749
0.21808593,0.152374449
0.21316048,0.148933086
0.2078349,0.145212157
0.21671807,0.151418739
0.21372294,0.149326072
0.21411525,0.149600175
0.21659731,0.151334365
0.21591982,0.15086101
0.21647194,0.15124677
0.21111961,0.147507151
0.21182639,0.148000971
0.21523875,0.150385153
0.20863209,0.145769146
0.2139629,0.149493729
0.21229056,0.148325282
0.21614708,0.151019794
0.21148204,0.147760377
0.20813994,0.145425286
0.21605894,0.150958211
0.21781108,0.152182414
0.21451716,0.149880985
0.21216183,0.14823534
0.21466508,0.149984335
0.21426303,0.149703427
0.21689927,0.151545341
0.21307755,0.148875144
0.2169411,0.151574568
0.20933027,0.146256957
0.21763415,0.152058795
0.21688998,0.151538851
0.20919785,0.146164437
0.21521098,0.15036575
0.21381521,0.14939054
0.21111502,0.147503944
0.2106796,0.147199721
0.21150499,0.147776412
0.21467433,0.149990798
0.21214344,0.148222491
0.21615636,0.151026278
0.21168403,0.147901506
0.20998383,0.146713593
0.21283348,0.148704615
0.22075023,0.154235969
0.21497958,0.150204073
0.2211161,0.154491598
0.2147668,0.150055406
0.21685745,0.151516122
0.21357073,0.149219724
0.2118953,0.148049118
0.21475756,0.15004895
0.21521098,0.15036575
0.21369987,0.149309953
0.21015309,0.146831853
0.2139029,0.149451808
0.20940791,0.146311203
0.21402753,0.149538886
0.21468357,0.149997254
0.21525727,0.150398093
0.20493637,0.143186983
0.21294398,0.14878182
0.21059257,0.147138914
0.20987864,0.146640098
0.21048266,0.147062121
0.21044145,0.147033328
0.21344162,0.149129516
0.2116427,0.147872629
0.20897876,0.146011361
0.21247912,0.148457027
0.21565561,0.150676409
0.21642087,0.151211088
0.21936462,0.153267857
0.21367219,0.149290613
0.21161516,0.147853387
0.22184875,0.155003493
0.21629556,0.151123535
0.21737354,0.151876709
0.2093531,0.146272908
0.21679705,0.151473921
0.21274601,0.1486435
0.21421685,0.149671162
0.21521561,0.150368985
0.20856371,0.145721369
0.21339091,0.149094086
0.21044603,0.147036528
0.20782125,0.14520262
0.2115922,0.147837345
0.20949928,0.146375043
0.21258034,0.148527748
0.21252513,0.148489174
0.21453102,0.149890669
0.20952669,0.146394194
0.2115922,0.147837345
0.21594764,0.150880447
0.21279665,0.148678882
0.2156,0.150637555
0.20823559,0.145492115
0.21508601,0.150278435
0.21221699,0.148273879
0.21485468,0.150116807
0.21253893,0.148498816
0.21033158,0.146956562
0.21600792,0.150922564
0.21192286,0.148068374
0.21393059,0.149471155
0.21832365,0.152540541
0.21363068,0.14926161
0.21134437,0.147664189
0.2128565,0.148720699
0.21447556,0.14985192
0.21071167,0.147222128
0.21852884,0.152683906
0.20922981,0.146186767
0.21045061,0.147039728
0.21322959,0.148981373
0.21702941,0.151636269
0.21030869,0.146940569
0.21538692,0.150488678
0.21293477,0.148775385
0.20861386,0.145756409
0.21085372,0.147321376
0.21705266,0.151652514
0.21418452,0.149648573
0.21314665,0.148923424
0.21301307,0.148830093
0.21682957,0.151496643
0.21585491,0.150815658
0.21426765,0.149706655
0.20678938,0.144481663
0.21431847,0.149742162
0.21545639,0.150537216
0.21186314,0.148026648
0.2115004,0.147773205
0.21204692,0.148155053
0.21436467,0.149774442
0.20921155,0.146174009
0.21115171,0.147529579
0.21746195,0.15193848
0.21315126,0.148926645
0.21675059,0.15144146
0.21238253,0.148389541
0.21106917,0.147471909
0.21225377,0.148299577
0.21821176,0.152462365
0.21633732,0.151152713
0.20885557,0.145925289
0.21571122,0.150715263
0.21462809,0.149958491
0.20919328,0.146161244
0.21818846,0.152446086
0.21364452,0.14927128
0.2057192,0.143733939
0.2083905,0.145600349
0.21737354,0.151876709
0.21048724,0.147065321
0.21893486,0.152967588
0.21279665,0.148678882
0.21364452,0.14927128
0.20760285,0.145050026
0.21246992,0.148450599
0.21342779,0.149119853
0.21397213,0.149500178
0.21623523,0.151081383
0.21428151,0.149716339
0.21262635,0.148559895
0.21669949,0.151405757
0.21429537,0.149726023
0.2122124,0.148270672
0.21275982,0.148653149
0.2131743,0.148942742
0.21689462,0.151542093
0.20985121,0.146620933
0.21437391,0.149780898
0.21264016,0.148569544
0.21167484,0.147895085
0.21184936,0.14801702
0.21928518,0.153212353
0.21634197,0.151155962
0.21059257,0.147138914
0.21844955,0.152628507
0.21323881,0.148987815
0.21703406,0.151639518
0.2175364,0.151990498
0.21524338,0.150388388
0.2115922,0.147837345
0.20901527,0.14603687
0.20826748,0.145514397
0.2129624,0.14879469
0.21585954,0.150818893
0.21056509,0.147119714
0.20906547,0.146071944
0.21375985,0.14935186
0.2166066,0.151340856
0.22014582,0.153813673
0.21462347,0.149955263
0.21910298,0.153085052
0.21229515,0.148328489
0.21180343,0.147984929
0.21820244,0.152455853
0.21524801,0.150391623
0.21465583,0.149977872
0.2115922,0.147837345
0.21767605,0.15208807
0.21340013,0.149100528
0.21546102,0.150540451
0.21528042,0.150414267
0.21510915,0.150294603
0.21355228,0.149206833
0.21785299,0.152211696
0.21547492,0.150550162
0.21906094,0.153055679
0.21340473,0.149103741
0.21747125,0.151944978
0.21012106,0.146809474
0.21900023,0.153013261
0.22007092,0.153761341
0.21315126,0.148926645
0.2132342,0.148984594
0.21802535,0.152332122
0.20798056,0.145313928
0.21385213,0.149416335
0.21860815,0.152739319
0.21528505,0.150417502
0.21522024,0.15037222
0.21900957,0.153019787
0.21432309,0.14974539
0.21414757,0.149622756
0.21352922,0.149190721
0.20392937,0.142483403
0.21535914,0.150469268
0.21719214,0.151749967
0.21152794,0.147792447
0.21691321,0.151555081
0.21310519,0.148894456
0.22016924,0.153830037
0.21147286,0.147753963
0.21651837,0.15127921
0.21033158,0.146956562
0.20944446,0.146336741
0.21533598,0.150453086
0.21494257,0.150178215
0.21790423,0.152247497
0.21592909,0.150867486
0.2127322,0.148633852
0.21080331,0.147286155
0.21163352,0.147866215
0.21387059,0.149429233
0.20824926,0.145501666
0.21008904,0.146787102
